symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
XAGUSDT,15258,15260,1771603200,1771605900,LONG,TRAIL,81.58,82.43659,84.0274,80.3563,0.6916902874759325,0.5583569541425986,0.133333333333334,16,2.05,65.0,0.20896977575560355,0.012749466528914025,2.7161227263336367,base,adaptive disabled,1.25,85.5,90,75,90,80,MIDDAY,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.525,range
XAUUSDT,15342,15346,1771857900,1771862400,LONG,TRAIL,5176.205,5204.55003089,5257.19080255,5135.71209873,0.6496479331593354,0.39398806006276565,0.2556598730965698,15,3.23,70.82,0.35575582553276175,0.003105187242928539,1.8725791578036335,base,adaptive disabled,1.25,82.5,90,90,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 3.2x | FVG | LiqSweep | ChoCH | Engulfing | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.525,range
XAUUSDT,15344,15346,1771859700,1771862400,LONG,TRAIL,5176.205,5204.76046541,5257.79204403,5135.41147798,0.6426496682973986,0.38887383607274895,0.2537758322246496,14,2.8,71.72,0.34142739950779594,0.0028238890280375168,1.7029426324920363,base,adaptive disabled,1.25,84.5,90,100,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.8x | FVG | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.5,bull
XAUUSDT,15346,15348,1771861500,1771864200,LONG,TRAIL,5176.205,5204.95719722,5258.35413491,5135.13043255,0.8799293216447794,0.627889905463419,0.25203941618136044,14,1.82,68.42,0.28596882343321456,0.002815026476295571,1.697598082106317,base,adaptive disabled,1.25,77.3,90,94,50,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | Engulfing | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.525,bull
MRVLUSDT,23045,23055,1771862400,1771872300,SHORT,TRAIL,78.027,76.497,75.68619,79.197405,1.3327262620978644,1.1993929287645313,0.13333333333333305,16,1.69,35.63,0.2982005141388155,0.013812199297166991,2.3271204803109495,base,adaptive disabled,1.25,78.5,90,85,60,80,MIDDAY,bearish,bearish,OB,BOS bearish | Vol 1.7x | FVG | OB | ChoCH | BearWick | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | BearWick+1 | Zone:OB+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0.425,range
XAUUSDT,15347,15348,1771862400,1771864200,LONG,TRAIL,5176.205,5205.36796884,5259.52776813,5134.54361594,0.8604924866690887,0.6120031425539108,0.24848934411517803,14,2.01,70.83,0.4348711952092496,0.0038529522391935675,2.1238916057519943,base,adaptive disabled,1.25,82.5,90,90,70,80,MIDDAY,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.425,bull
XAUUSDT,15349,15350,1771864200,1771866000,LONG,TRAIL,5176.205,5205.36267467,5259.51264191,5134.55117905,0.8086434510707698,0.5601089885918811,0.24853446247888875,14,1.65,70.62,0.4622842279498813,0.0035488914833774862,1.9562819270367586,base,adaptive disabled,1.25,82.5,90,90,70,80,MIDDAY,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.625,bull
METAUSDT,23118,23142,1772117100,1772202600,LONG,SL,655.426,662.307973,675.397,645.59461,-1.0,-1.1333333333333326,0.13333333333333258,14,1.79,71.77,0.37884502556365784,0.010462273591503457,4.103624631226086,base,adaptive disabled,1.25,71.8,65,80,70,80,OPEN,bullish,neutral,FVG,BOS bullish | Vol 1.8x | FVG | LiqSweep | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | BTCok+1 | FVG+1 | LiqSweep+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0.575,bull
XAUUSDT,15641,15715,1772137800,1772208900,LONG,TRAIL,5169.015,5249.575,5354.5665,5134.94265017,2.5157884769769283,2.212374416849573,0.30341406012735506,16,2.54,63.2,0.27183256961153524,0.0016772738490093819,0.874751181011127,base,adaptive disabled,1.15,78.4,60,92,90,80,CLOSE,neutral,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | Session:CLOSE | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:CLOSE | NestedOB_1h+2 | QualityRisk:1.15,0,0.65,bull
CLUSDT,15718,15745,1772204400,1772406000,LONG,TP2,66.83,67.43404847,68.55585277,65.96707361,1.9999999884115334,1.845108445460807,0.15489154295072638,16,1.98,55.62,0.19230769230769135,0.005283904579931009,1.8269795335742114,base,adaptive disabled,1.25,82.1,90,73,80,80,OPEN,bullish,bullish,OB,BOS bullish | Vol 2.0x | FVG | OB | StochCross | Session:OPEN | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | StochCross+1 | Zone:OB+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.55,range
AMZNUSDT,23168,23168,1772225100,1772461800,LONG,SL,209.1565,210.7157222,213.61142057,206.92903971,-1.0,-1.1877981851698929,0.1877981851698929,17,1.67,61.12,0.16380327868852335,0.0060037860270471255,1.5979846227150911,base,adaptive disabled,1.15,80.3,90,79,70,80,CLOSE,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | NestedOB_1h+2 | TrendPairRisk:1.15,0,0.55,bull
MRVLUSDT,23171,23178,1772463600,1772470800,LONG,TRAIL,80.647,81.4937935,83.06641,79.437295,0.8429022543177938,0.7095689209844603,0.1333333333333334,16,2.18,53.42,0.15220949263502265,0.020184488053066257,2.8976071998601594,base,adaptive disabled,1.25,84.1,90,68,90,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | LiqSweep | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.575,bull
TSLAUSDT,23200,23220,1772552700,1772636400,SHORT,SL,389.476,385.386502,377.79172,395.31814,-1.0,-1.1333333333333326,0.13333333333333267,15,1.57,30.11,0.4497370489028604,0.00887745219697373,1.865927440576998,base,adaptive disabled,1.15,82.5,90,90,70,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | BearWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15,0,0.525,range
CLUSDT,16084,16087,1772721000,1772724600,LONG,TRAIL,77.434,78.247057,79.75702,76.27249,1.141628705284437,1.0082953719511027,0.13333333333333416,15,3.28,66.35,0.48863636363636187,0.009376912991166844,1.6967113956142907,base,adaptive disabled,1.25,84.5,90,100,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 3.3x | FVG | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.45,range
AAPLUSDT,23246,23249,1772721900,1772725500,SHORT,TRAIL,261.0515,258.31045925,253.219955,264.9672725,0.2843031441297096,0.15096981079637634,0.13333333333333325,14,1.81,30.38,0.4820295983086809,0.007105828651486069,1.941695407278848,base,adaptive disabled,1.0,82.5,90,90,70,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.8x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1,0,0.55,bull
CLUSDT,16085,16087,1772721900,1772724600,LONG,TRAIL,77.434,78.247057,79.75702,76.27249,1.1436111519373267,1.0102778186039925,0.13333333333333416,14,2.22,64.72,0.44009216589861994,0.007239317075639434,1.2942383725360387,base,adaptive disabled,1.25,84.5,90,100,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.425,range
CLUSDT,16086,16087,1772722800,1772724600,LONG,TRAIL,77.434,78.247057,79.75702,76.27249,1.1443758099442873,1.0110424766109531,0.13333333333333416,14,2.32,65.32,0.49427984746260084,0.006179736818209943,1.1048075997686042,base,adaptive disabled,1.25,84.5,90,100,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.3x | FVG | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.55,range
AAPLUSDT,23251,23262,1772726400,1772737200,SHORT,TRAIL,261.0515,258.31045925,253.219955,264.9672725,0.7093702780998328,0.5760369447664995,0.13333333333333325,15,1.76,37.18,0.43399482312339,0.006598365980236272,1.8030292521464524,base,adaptive disabled,1.0,82.5,90,90,70,80,MIDDAY,bearish,bearish,FVG,BOS bearish | Vol 1.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1,0,0.475,bull
